,0,1,2,3,4,5,6,7,8
0,《冲上云霄》,2015.2.19,2015.3.29,寰亚电影制作有限公司,叶伟信-邹凯光,古天乐-郑秀文-吴镇宇-张智霖-佘诗曼-郭采洁,剧情-爱情,票房（万）1563.3,北京
1,《百团大战》,2015.8.28,2015.10.11,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强-张玉中,陶泽如-刘之冰-印小天-吴越-唐国强-王伍福,战争/历史,票房（万）4137.3,天津
2,《浪漫天降》,2015.10.23,2015.11.8,,宁瀛,夏雨-关晓彤-邱泽,浪漫-爱情-喜剧,票房（万）75.2,广州
3,《简单爱》,2015.7.3,2015.7.19,中视合利（北京）文化投资有限公司一鸣影业公司（美国）,崔龄燕,许绍洋-张琳-谢雨芩-石铭熙,都市浪漫爱情喜剧,票房（万）232.7,成都
4,《一念天堂》,2015.12.31,2016.2.13,天河盛宴-凯德盛世（北京）投资管理有限公司-和云筹(北京)网络科技有限公司,张承,沈腾-马丽-林雪-杜晓宇-王子子-李元鹏,喜剧,票房（万）829.5,沈阳
5,《爱之初体验》,2015.8.7,2015.8.23,上海锦瑟天下影视有限公司,海涛,张超-李晓峰-张瑶-吴大维-屈菁菁-刘雅瑟-乔曦,喜剧/爱情,票房（万）31.7,上海
6,《百团大战》,2015.8.28,2015.10.11,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强-张玉中,陶泽如-刘之冰-印小天-吴越-唐国强-王伍福,战争/历史,票房（万）4137.3,济南
7,《紫霞》,2015.12.11,2015.12.27,映代码公司,苗述,徐洁儿-袁晓超-刘承俊-洪天照-刘永健-谭赫-肖红-金晶-谢沅江,爱情-奇幻,票房（万）4.1,济南
8,《一路惊喜》,2015.2.6,2015.3.8,万达影视传媒有限公司,金依萌/潘安子/章家瑞/宋迪,郭采洁-萧敬腾-赵丽颖-凤小岳-夏雨-梅婷-蓝燕-林家栋-张译-大鹏-蒋劲夫-孙艺洲-张辛苑-阚清子-刘维-乔杉,喜剧/爱情/家庭,票房（万）974.6,沈阳
9,《失孤》,2015.3.20,2015.5.3,华谊兄弟传媒集团、源合圣影视、映艺娱乐,彭三源,刘德华-井柏然-梁家辉-吴君如,剧情、社会,票房（万）2167.9,北京
10,《闯入者》,2015.4.30,2015.5.24,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中-秦海璐-冯远征-秦昊-石榴,剧情、犯罪,票房（万）103.6,成都
11,《失孤》,2015.3.20,2015.5.3,华谊兄弟传媒集团、源合圣影视、映艺娱乐,彭三源,刘德华-井柏然-梁家辉-吴君如,剧情、社会,票房（万）2167.9,福州
12,《简单爱》,2015.7.3,2015.7.19,中视合利（北京）文化投资有限公司一鸣影业公司（美国）,崔龄燕,许绍洋-张琳-谢雨芩-石铭熙,都市浪漫爱情喜剧,票房（万）232.7,广州
13,《探灵档案》,2015.3.7,2015.3.22,壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司,彭发,马浴柯-吴昕-潘粤明-王景春-莫小棋-朱雨辰-洪天明-陈国坤-刘颖仪,悬疑-惊悚,票房（万）34.1,沈阳
14,《冲上云霄》,2015.2.19,2015.3.29,寰亚电影制作有限公司,叶伟信-邹凯光,古天乐-郑秀文-吴镇宇-张智霖-佘诗曼-郭采洁,剧情-爱情,票房（万）1563.3,沈阳
15,《失孤》,2015.3.20,2015.5.3,华谊兄弟传媒集团、源合圣影视、映艺娱乐,彭三源,刘德华-井柏然-梁家辉-吴君如,剧情、社会,票房（万）2167.9,武汉
16,《坏蛋必须死》,2015.11.27,2015.12.20,北京新力量、华谊兄弟、南京大道行知,孙皓,陈柏霖-孙艺珍-乔振宇-申贤俊-张光-杨旭文-丁文博-朴哲民,喜剧-悬疑-旅行-爱情,票房（万）405.4,长沙
17,《百团大战》,2015.8.28,2015.10.11,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强-张玉中,陶泽如-刘之冰-印小天-吴越-唐国强-王伍福,战争/历史,票房（万）4137.3,成都
18,《万物生长》,2015.4.17,2015.5.24,北京劳雷影业、杭州果麦文化传媒、北京联瑞影业,李玉,范冰冰-韩庚-沙溢-吴莫愁-杨迪-齐溪-张博宇-沈婷婷-李梦-雷恪生-吕行,爱情、剧情、校园、喜剧,票房（万）1431.8,长沙
19,《紫霞》,2015.12.11,2015.12.27,映代码公司,苗述,徐洁儿-袁晓超-刘承俊-洪天照-刘永健-谭赫-肖红-金晶-谢沅江,爱情-奇幻,票房（万）4.1,长沙
20,《破风》,2015.8.7,2015.9.13,恒大影视文化有限公司,林超贤,彭于晏-窦骁-崔始源-王珞丹-陈家乐-欧阳娜娜-连凯,剧情、运动、爱情,票房（万）1429.1,福州
21,《探灵档案》,2015.3.7,2015.3.22,壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司,彭发,马浴柯-吴昕-潘粤明-王景春-莫小棋-朱雨辰-洪天明-陈国坤-刘颖仪,悬疑-惊悚,票房（万）34.1,广州
22,《最美的时候遇见你》,2015.12.11,2015.12.27,广州遐迩文化传播有限公司,吴娜,谭松韵-罗云熙,校园-爱情-喜剧,票房（万）15.2,北京
23,《将错就错》,2015.3.5,2015.3.29,中国电影股份有限公司等,王宁,小沈阳-田亮-陈小春-熊黛林,爱情、喜剧,票房（万）397.4,上海
24,《最美的时候遇见你》,2015.12.11,2015.12.27,广州遐迩文化传播有限公司,吴娜,谭松韵-罗云熙,校园-爱情-喜剧,票房（万）15.2,沈阳
25,《少年班》,2015.6.19,2015.7.19,工夫影业；华谊兄弟,肖洋,孙红雷-周冬雨-董子健-王栎鑫-李佳奇-夏天-王森,青春、校园、喜剧,票房（万）506.7,成都
26,《分手再说我爱你》,2015.12.24,2016.1.17,爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司,叶念琛,方力申-邓丽欣,爱情、剧情,票房（万）173.2,福州
27,《既然青春留不住》,2015.10.23,2015.11.22,杭州和润影视有限公司,田蒙,张翰-陈乔恩-王啸坤-施予斐-贾盛强-廖娟,喜剧、爱情,票房（万）500.3,上海
28,《前任2：备胎反击战》,2015.11.6,2015.12.20,华谊兄弟传媒股份有限公司、新圣堂影业,田羽生,郑恺-郭采洁-张艺兴-王传君,爱情-喜剧,票房（万）2200.2,广州
29,《万物生长》,2015.4.17,2015.5.24,北京劳雷影业、杭州果麦文化传媒、北京联瑞影业,李玉,范冰冰-韩庚-沙溢-吴莫愁-杨迪-齐溪-张博宇-沈婷婷-李梦-雷恪生-吕行,爱情、剧情、校园、喜剧,票房（万）1431.8,广州
30,《百团大战》,2015.8.28,2015.10.11,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强-张玉中,陶泽如-刘之冰-印小天-吴越-唐国强-王伍福,战争/历史,票房（万）4137.3,济南
31,《简单爱》,2015.7.3,2015.7.19,中视合利（北京）文化投资有限公司一鸣影业公司（美国）,崔龄燕,许绍洋-张琳-谢雨芩-石铭熙,都市浪漫爱情喜剧,票房（万）232.7,武汉
32,《一路惊喜》,2015.2.6,2015.3.8,万达影视传媒有限公司,金依萌/潘安子/章家瑞/宋迪,郭采洁-萧敬腾-赵丽颖-凤小岳-夏雨-梅婷-蓝燕-林家栋-张译-大鹏-蒋劲夫-孙艺洲-张辛苑-阚清子-刘维-乔杉,喜剧/爱情/家庭,票房（万）974.6,济南
33,《爱之初体验》,2015.8.7,2015.8.23,上海锦瑟天下影视有限公司,海涛,张超-李晓峰-张瑶-吴大维-屈菁菁-刘雅瑟-乔曦,喜剧/爱情,票房（万）31.7,天津
34,《破风》,2015.8.7,2015.9.13,恒大影视文化有限公司,林超贤,彭于晏-窦骁-崔始源-王珞丹-陈家乐-欧阳娜娜-连凯,剧情、运动、爱情,票房（万）1429.1,沈阳
35,《浪漫天降》,2015.10.23,2015.11.8,,宁瀛,夏雨-关晓彤-邱泽,浪漫-爱情-喜剧,票房（万）75.2,长沙
36,《冲上云霄》,2015.2.19,2015.3.29,寰亚电影制作有限公司,叶伟信-邹凯光,古天乐-郑秀文-吴镇宇-张智霖-佘诗曼-郭采洁,剧情-爱情,票房（万）1563.3,天津
37,《闯入者》,2015.4.30,2015.5.24,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中-秦海璐-冯远征-秦昊-石榴,剧情、犯罪,票房（万）103.6,沈阳
38,《将错就错》,2015.3.5,2015.3.29,中国电影股份有限公司等,王宁,小沈阳-田亮-陈小春-熊黛林,爱情、喜剧,票房（万）397.4,武汉
39,《浪漫天降》,2015.10.23,2015.11.8,,宁瀛,夏雨-关晓彤-邱泽,浪漫-爱情-喜剧,票房（万）75.2,上海
40,《简单爱》,2015.7.3,2015.7.19,中视合利（北京）文化投资有限公司一鸣影业公司（美国）,崔龄燕,许绍洋-张琳-谢雨芩-石铭熙,都市浪漫爱情喜剧,票房（万）232.7,长沙
41,《浪漫天降》,2015.10.23,2015.11.8,,宁瀛,夏雨-关晓彤-邱泽,浪漫-爱情-喜剧,票房（万）75.2,上海
42,《最美的时候遇见你》,2015.12.11,2015.12.27,广州遐迩文化传播有限公司,吴娜,谭松韵-罗云熙,校园-爱情-喜剧,票房（万）15.2,沈阳
43,《将错就错》,2015.3.5,2015.3.29,中国电影股份有限公司等,王宁,小沈阳-田亮-陈小春-熊黛林,爱情、喜剧,票房（万）397.4,长沙
44,《探灵档案》,2015.3.7,2015.3.22,壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司,彭发,马浴柯-吴昕-潘粤明-王景春-莫小棋-朱雨辰-洪天明-陈国坤-刘颖仪,悬疑-惊悚,票房（万）34.1,长沙
45,《紫霞》,2015.12.11,2015.12.27,映代码公司,苗述,徐洁儿-袁晓超-刘承俊-洪天照-刘永健-谭赫-肖红-金晶-谢沅江,爱情-奇幻,票房（万）4.1,北京
46,《失孤》,2015.3.20,2015.5.3,华谊兄弟传媒集团、源合圣影视、映艺娱乐,彭三源,刘德华-井柏然-梁家辉-吴君如,剧情、社会,票房（万）2167.9,福州
47,《最美的时候遇见你》,2015.12.11,2015.12.27,广州遐迩文化传播有限公司,吴娜,谭松韵-罗云熙,校园-爱情-喜剧,票房（万）15.2,长沙
48,《爱情魔发师》,2015.7.17,2015.8.2,北京仁和博纳文化传媒有限公司,倾海,游游-张燃-朱咪咪-黄一飞-崔浩博-王子轩,喜剧 / 爱情,票房（万）2.3,上海
49,《一念天堂》,2015.12.31,2016.2.13,天河盛宴-凯德盛世（北京）投资管理有限公司-和云筹(北京)网络科技有限公司,张承,沈腾-马丽-林雪-杜晓宇-王子子-李元鹏,喜剧,票房（万）829.5,天津
50,《天将雄师》,2015.2.19,2015.4.6,耀莱文化-华谊兄弟-上海电影集团,李仁港,成龙-约翰·库萨克-阿德里安·布劳迪-崔始源 -林鹏-王若心-筷子兄弟-西蒙子-冯绍峰-朱佳煜,动作-古装-剧情-历史,票房（万）7443.2,成都
51,《最美的时候遇见你》,2015.12.11,2015.12.27,广州遐迩文化传播有限公司,吴娜,谭松韵-罗云熙,校园-爱情-喜剧,票房（万）15.2,北京
52,《万物生长》,2015.4.17,2015.5.24,北京劳雷影业、杭州果麦文化传媒、北京联瑞影业,李玉,范冰冰-韩庚-沙溢-吴莫愁-杨迪-齐溪-张博宇-沈婷婷-李梦-雷恪生-吕行,爱情、剧情、校园、喜剧,票房（万）1431.8,成都
53,《将错就错》,2015.3.5,2015.3.29,中国电影股份有限公司等,王宁,小沈阳-田亮-陈小春-熊黛林,爱情、喜剧,票房（万）397.4,广州
54,《闯入者》,2015.4.30,2015.5.24,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中-秦海璐-冯远征-秦昊-石榴,剧情、犯罪,票房（万）103.6,长沙
55,《爱之初体验》,2015.8.7,2015.8.23,上海锦瑟天下影视有限公司,海涛,张超-李晓峰-张瑶-吴大维-屈菁菁-刘雅瑟-乔曦,喜剧/爱情,票房（万）31.7,天津
56,《破风》,2015.8.7,2015.9.13,恒大影视文化有限公司,林超贤,彭于晏-窦骁-崔始源-王珞丹-陈家乐-欧阳娜娜-连凯,剧情、运动、爱情,票房（万）1429.1,福州
57,《既然青春留不住》,2015.10.23,2015.11.22,杭州和润影视有限公司,田蒙,张翰-陈乔恩-王啸坤-施予斐-贾盛强-廖娟,喜剧、爱情,票房（万）500.3,天津
58,《分手再说我爱你》,2015.12.24,2016.1.17,爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司,叶念琛,方力申-邓丽欣,爱情、剧情,票房（万）173.2,福州
59,《怦然星动》,2015.12.3,2016.1.10,欢瑞世纪-嘉行传媒-青春光线,陈国辉,杨幂-李易峰-陈数-王耀庆-迪丽热巴-张云龙,都市-爱情-喜剧,票房（万）1593.9,沈阳
60,《一路惊喜》,2015.2.6,2015.3.8,万达影视传媒有限公司,金依萌/潘安子/章家瑞/宋迪,郭采洁-萧敬腾-赵丽颖-凤小岳-夏雨-梅婷-蓝燕-林家栋-张译-大鹏-蒋劲夫-孙艺洲-张辛苑-阚清子-刘维-乔杉,喜剧/爱情/家庭,票房（万）974.6,济南
61,《探灵档案》,2015.3.7,2015.3.22,壹马时代文化传媒（北京）有限公司、北京盛唐时代文化传播有限公司,彭发,马浴柯-吴昕-潘粤明-王景春-莫小棋-朱雨辰-洪天明-陈国坤-刘颖仪,悬疑-惊悚,票房（万）34.1,成都
62,《冲上云霄》,2015.2.19,2015.3.29,寰亚电影制作有限公司,叶伟信-邹凯光,古天乐-郑秀文-吴镇宇-张智霖-佘诗曼-郭采洁,剧情-爱情,票房（万）1563.3,成都
63,《爱之初体验》,2015.8.7,2015.8.23,上海锦瑟天下影视有限公司,海涛,张超-李晓峰-张瑶-吴大维-屈菁菁-刘雅瑟-乔曦,喜剧/爱情,票房（万）31.7,北京
64,《失孤》,2015.3.20,2015.5.3,华谊兄弟传媒集团、源合圣影视、映艺娱乐,彭三源,刘德华-井柏然-梁家辉-吴君如,剧情、社会,票房（万）2167.9,沈阳
65,《少年班》,2015.6.19,2015.7.19,工夫影业；华谊兄弟,肖洋,孙红雷-周冬雨-董子健-王栎鑫-李佳奇-夏天-王森,青春、校园、喜剧,票房（万）506.7,武汉
66,《浪漫天降》,2015.10.23,2015.11.8,,宁瀛,夏雨-关晓彤-邱泽,浪漫-爱情-喜剧,票房（万）75.2,天津
67,《冲上云霄》,2015.2.19,2015.3.29,寰亚电影制作有限公司,叶伟信-邹凯光,古天乐-郑秀文-吴镇宇-张智霖-佘诗曼-郭采洁,剧情-爱情,票房（万）1563.3,长沙
68,《万物生长》,2015.4.17,2015.5.24,北京劳雷影业、杭州果麦文化传媒、北京联瑞影业,李玉,范冰冰-韩庚-沙溢-吴莫愁-杨迪-齐溪-张博宇-沈婷婷-李梦-雷恪生-吕行,爱情、剧情、校园、喜剧,票房（万）1431.8,天津
69,《一念天堂》,2015.12.31,2016.2.13,天河盛宴-凯德盛世（北京）投资管理有限公司-和云筹(北京)网络科技有限公司,张承,沈腾-马丽-林雪-杜晓宇-王子子-李元鹏,喜剧,票房（万）829.5,成都
70,《恶棍天使》,2015.12.24,2016.2.13,天津橙子映像传媒有限公司、北京光线影业有限公司,邓超、俞白眉,邓超-孙俪-梁超-代乐乐,喜剧/荒诞/爱情,票房（万）6495.0,福州
71,《闯入者》,2015.4.30,2015.5.24,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中-秦海璐-冯远征-秦昊-石榴,剧情、犯罪,票房（万）103.6,天津
72,《前任2：备胎反击战》,2015.11.6,2015.12.20,华谊兄弟传媒股份有限公司、新圣堂影业,田羽生,郑恺-郭采洁-张艺兴-王传君,爱情-喜剧,票房（万）2200.2,上海
73,《天将雄师》,2015.2.19,2015.4.6,耀莱文化-华谊兄弟-上海电影集团,李仁港,成龙-约翰·库萨克-阿德里安·布劳迪-崔始源 -林鹏-王若心-筷子兄弟-西蒙子-冯绍峰-朱佳煜,动作-古装-剧情-历史,票房（万）7443.2,长沙
74,《一路惊喜》,2015.2.6,2015.3.8,万达影视传媒有限公司,金依萌/潘安子/章家瑞/宋迪,郭采洁-萧敬腾-赵丽颖-凤小岳-夏雨-梅婷-蓝燕-林家栋-张译-大鹏-蒋劲夫-孙艺洲-张辛苑-阚清子-刘维-乔杉,喜剧/爱情/家庭,票房（万）974.6,北京
75,《恶棍天使》,2015.12.24,2016.2.13,天津橙子映像传媒有限公司、北京光线影业有限公司,邓超、俞白眉,邓超-孙俪-梁超-代乐乐,喜剧/荒诞/爱情,票房（万）6495.0,沈阳
76,《闯入者》,2015.4.30,2015.5.24,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中-秦海璐-冯远征-秦昊-石榴,剧情、犯罪,票房（万）103.6,广州
77,《前任2：备胎反击战》,2015.11.6,2015.12.20,华谊兄弟传媒股份有限公司、新圣堂影业,田羽生,郑恺-郭采洁-张艺兴-王传君,爱情-喜剧,票房（万）2200.2,天津
78,《少年班》,2015.6.19,2015.7.19,工夫影业；华谊兄弟,肖洋,孙红雷-周冬雨-董子健-王栎鑫-李佳奇-夏天-王森,青春、校园、喜剧,票房（万）506.7,成都
79,《紫霞》,2015.12.11,2015.12.27,映代码公司,苗述,徐洁儿-袁晓超-刘承俊-洪天照-刘永健-谭赫-肖红-金晶-谢沅江,爱情-奇幻,票房（万）4.1,天津
80,《爱之初体验》,2015.8.7,2015.8.23,上海锦瑟天下影视有限公司,海涛,张超-李晓峰-张瑶-吴大维-屈菁菁-刘雅瑟-乔曦,喜剧/爱情,票房（万）31.7,广州
81,《万物生长》,2015.4.17,2015.5.24,北京劳雷影业、杭州果麦文化传媒、北京联瑞影业,李玉,范冰冰-韩庚-沙溢-吴莫愁-杨迪-齐溪-张博宇-沈婷婷-李梦-雷恪生-吕行,爱情、剧情、校园、喜剧,票房（万）1431.8,济南
82,《破风》,2015.8.7,2015.9.13,恒大影视文化有限公司,林超贤,彭于晏-窦骁-崔始源-王珞丹-陈家乐-欧阳娜娜-连凯,剧情、运动、爱情,票房（万）1429.1,福州
83,《爱情魔发师》,2015.7.17,2015.8.2,北京仁和博纳文化传媒有限公司,倾海,游游-张燃-朱咪咪-黄一飞-崔浩博-王子轩,喜剧 / 爱情,票房（万）2.3,北京
84,《简单爱》,2015.7.3,2015.7.19,中视合利（北京）文化投资有限公司一鸣影业公司（美国）,崔龄燕,许绍洋-张琳-谢雨芩-石铭熙,都市浪漫爱情喜剧,票房（万）232.7,成都
85,《既然青春留不住》,2015.10.23,2015.11.22,杭州和润影视有限公司,田蒙,张翰-陈乔恩-王啸坤-施予斐-贾盛强-廖娟,喜剧、爱情,票房（万）500.3,济南
86,《少年班》,2015.6.19,2015.7.19,工夫影业；华谊兄弟,肖洋,孙红雷-周冬雨-董子健-王栎鑫-李佳奇-夏天-王森,青春、校园、喜剧,票房（万）506.7,成都
87,《最美的时候遇见你》,2015.12.11,2015.12.27,广州遐迩文化传播有限公司,吴娜,谭松韵-罗云熙,校园-爱情-喜剧,票房（万）15.2,长沙
88,《分手再说我爱你》,2015.12.24,2016.1.17,爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司,叶念琛,方力申-邓丽欣,爱情、剧情,票房（万）173.2,济南
89,《将错就错》,2015.3.5,2015.3.29,中国电影股份有限公司等,王宁,小沈阳-田亮-陈小春-熊黛林,爱情、喜剧,票房（万）397.4,武汉
90,《浪漫天降》,2015.10.23,2015.11.8,,宁瀛,夏雨-关晓彤-邱泽,浪漫-爱情-喜剧,票房（万）75.2,成都
91,《破风》,2015.8.7,2015.9.13,恒大影视文化有限公司,林超贤,彭于晏-窦骁-崔始源-王珞丹-陈家乐-欧阳娜娜-连凯,剧情、运动、爱情,票房（万）1429.1,北京
92,《紫霞》,2015.12.11,2015.12.27,映代码公司,苗述,徐洁儿-袁晓超-刘承俊-洪天照-刘永健-谭赫-肖红-金晶-谢沅江,爱情-奇幻,票房（万）4.1,沈阳
93,《爱情魔发师》,2015.7.17,2015.8.2,北京仁和博纳文化传媒有限公司,倾海,游游-张燃-朱咪咪-黄一飞-崔浩博-王子轩,喜剧 / 爱情,票房（万）2.3,沈阳
94,《怦然星动》,2015.12.3,2016.1.10,欢瑞世纪-嘉行传媒-青春光线,陈国辉,杨幂-李易峰-陈数-王耀庆-迪丽热巴-张云龙,都市-爱情-喜剧,票房（万）1593.9,福州
95,《分手再说我爱你》,2015.12.24,2016.1.17,爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司,叶念琛,方力申-邓丽欣,爱情、剧情,票房（万）173.2,沈阳
96,《爱之初体验》,2015.8.7,2015.8.23,上海锦瑟天下影视有限公司,海涛,张超-李晓峰-张瑶-吴大维-屈菁菁-刘雅瑟-乔曦,喜剧/爱情,票房（万）31.7,广州
97,《分手再说我爱你》,2015.12.24,2016.1.17,爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司,叶念琛,方力申-邓丽欣,爱情、剧情,票房（万）173.2,天津
98,《一念天堂》,2015.12.31,2016.2.13,天河盛宴-凯德盛世（北京）投资管理有限公司-和云筹(北京)网络科技有限公司,张承,沈腾-马丽-林雪-杜晓宇-王子子-李元鹏,喜剧,票房（万）829.5,福州
99,《一念天堂》,2015.12.31,2016.2.13,天河盛宴-凯德盛世（北京）投资管理有限公司-和云筹(北京)网络科技有限公司,张承,沈腾-马丽-林雪-杜晓宇-王子子-李元鹏,喜剧,票房（万）829.5,上海
100,《闯入者》,2015.4.30,2015.5.24,冬春文化、银润传媒、合润传媒、安乐电影、引力影视投资、重庆电影集团,王小帅,吕中-秦海璐-冯远征-秦昊-石榴,剧情、犯罪,票房（万）103.6,福州
101,《百团大战》,2015.8.28,2015.10.11,八一电影制片厂；中国电影股份有限公司；北京紫禁城影业公司,宁海强-张玉中,陶泽如-刘之冰-印小天-吴越-唐国强-王伍福,战争/历史,票房（万）4137.3,济南
102,《怦然星动》,2015.12.3,2016.1.10,欢瑞世纪-嘉行传媒-青春光线,陈国辉,杨幂-李易峰-陈数-王耀庆-迪丽热巴-张云龙,都市-爱情-喜剧,票房（万）1593.9,长沙
103,《坏蛋必须死》,2015.11.27,2015.12.20,北京新力量、华谊兄弟、南京大道行知,孙皓,陈柏霖-孙艺珍-乔振宇-申贤俊-张光-杨旭文-丁文博-朴哲民,喜剧-悬疑-旅行-爱情,票房（万）405.4,广州
104,《分手再说我爱你》,2015.12.24,2016.1.17,爱奇艺影业（北京）有限公司、太阳娱乐文化有限公司、无限动力实业有限公司,叶念琛,方力申-邓丽欣,爱情、剧情,票房（万）173.2,济南
105,《坏蛋必须死》,2015.11.27,2015.12.20,北京新力量、华谊兄弟、南京大道行知,孙皓,陈柏霖-孙艺珍-乔振宇-申贤俊-张光-杨旭文-丁文博-朴哲民,喜剧-悬疑-旅行-爱情,票房（万）405.4,天津
